CENSUS_YEAR,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2016,11,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,9778,14122,8840,656,2497,15,221,17,29
2016,11,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",5117,10787,4824,202,3138,11,72,4,4
2016,11,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,727,999,570,90,34,10,1,53,3
2016,11,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",4,32,4,0,1,0,0,0,0
2016,11,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,21,20,17,4,1,0,0,0,0
2016,11,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",60,62,41,12,4,0,2,5,0
2016,14,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1863,4438,1773,49,1451,2,32,0,7
2016,11,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",13,1723,13,0,0,0,0,0,0
2016,11,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,74,1,0,0,0,0,0,0
2016,11,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,8,977,7,1,0,0,0,0,0
2016,12,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,28632,87639,27798,419,25652,25,311,26,53
2016,12,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2137,4866,1993,47,1646,0,79,0,18
2016,12,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,2,0,1,0,0,0,1,0,0
2016,12,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,4716,6143,3549,522,2338,6,603,7,29
2016,12,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4972,9684,4580,197,3431,9,161,3,22
2016,12,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,3,9,3,0,2,0,0,0,0
2016,12,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,76,148,69,2,14,0,1,4,0
2016,12,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",85,97,70,12,7,0,1,1,1
2016,12,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",4,750,4,0,1,0,0,0,0
2016,12,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,38,1,0,0,0,0,0,0
2016,12,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,4,10,4,0,0,0,0,0,0
2016,13,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21618,66072,21277,264,19280,50,12,5,10
2016,13,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1268,2908,1251,14,1016,2,0,1,0
2016,13,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,3,8,3,0,2,0,0,0,0
2016,13,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,3863,6600,3560,201,2072,3,81,5,13
2016,13,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3222,7106,3093,120,2037,6,1,0,2
2016,13,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,3,1,1,1,0,0,0,0,1
2016,13,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,250,512,222,21,43,0,0,6,1
2016,13,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",1,0,0,0,0,0,0,0,1
2016,13,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",4,320,3,0,1,0,1,0,0
2016,13,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,55,1,0,0,0,0,0,0
2016,13,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,1,1,1,0,0,0,0,0,0
2016,14,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,18,60,18,0,2,0,0,0,0
2016,14,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,3356,3657,2327,342,1132,0,681,3,3
2016,14,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3223,6939,2992,124,1940,7,90,1,9
2016,14,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,2,0,2,0,0,0,0,0,0
2016,14,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,188,302,151,23,21,4,0,9,1
2016,14,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",2,9,2,0,1,0,0,0,0
2016,14,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",7,1057,7,0,0,0,0,0,0
2016,14,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,4,10,2,2,0,0,0,0,0
2015,1,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21269,61563,20913,200,19035,78,57,12,9
2015,1,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2221,5225,2119,57,1258,12,27,2,4
2015,1,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,62,96,59,3,9,0,0,0,0
2015,1,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,6089,9534,5394,193,1421,2,490,1,9
2015,1,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3830,8008,3702,93,2022,19,15,1,0
2015,1,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,499,962,485,12,437,1,0,0,1
2015,1,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,787,1189,667,81,49,8,4,27,0
2015,1,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",8,666,8,0,4,0,0,0,0
2015,1,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,7,5,6,1,0,0,0,0,0
2015,1,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",9,59,8,1,6,0,0,0,0
2015,1,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",6,789,6,0,0,0,0,0,0
2015,1,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",14,53,11,0,0,0,0,2,1
2015,1,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,13,185,11,2,0,0,0,0,0
2015,2,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,23251,72894,22447,235,20799,24,479,1,65
2015,2,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1109,2535,1033,30,876,2,37,0,7
2015,2,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,275,406,205,7,154,0,63,0,0
2015,2,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2768,4067,2332,69,1476,0,365,0,2
2015,2,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3558,6986,2964,65,2109,2,516,0,11
2015,2,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,312,490,303,6,298,1,0,1,1
2015,2,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,148,239,126,19,7,1,0,2,0
2015,2,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",2,60,2,0,1,0,0,0,0
2015,2,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",6,453,4,0,0,0,2,0,0
2015,2,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",5,1060,5,0,1,0,0,0,0
2015,3,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21439,79937,21033,194,18847,22,162,18,10
2015,3,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1606,4527,1559,19,1277,0,26,0,2
2015,3,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,107,211,103,4,32,0,0,0,0
2015,3,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,4276,7257,3584,109,2260,2,575,0,6
2015,3,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2860,6659,2551,68,1802,1,229,0,11
2015,3,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,4,0,0,2,0,0,0,0,2
2015,3,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,1391,3105,1114,169,103,5,1,98,4
2015,3,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,1,2,1,0,0,0,0,0,0
2015,3,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",3,321,3,0,0,0,0,0,0
2015,3,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,0,0,0,0,0,0,0,1
2015,3,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,6,29,4,2,0,0,0,0,0
2015,4,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21543,61809,21267,169,18544,71,15,11,10
2015,4,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2873,7400,2783,58,1482,16,12,2,2
2015,4,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,50,94,46,3,3,0,0,1,0
2015,4,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2492,3918,2375,100,602,0,8,3,6
2015,4,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4604,11322,4490,92,2218,11,2,6,3
2015,4,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,126,258,124,1,107,0,1,0,0
2015,4,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,1335,1925,1079,132,52,12,3,106,3
2015,4,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,3,6,3,0,0,0,0,0,0
2015,4,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",3,4,3,0,1,0,0,0,0
2015,13,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21604,67224,21424,143,19439,23,6,0,8
2015,4,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",2,225,2,0,0,0,0,0,0
2015,4,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,0,0,0,0,0,0,0,1
2015,4,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,4,56,4,0,0,0,0,0,0
2015,5,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,19964,70441,19682,192,15926,57,13,12,8
2015,5,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2918,9067,2841,65,1682,10,0,2,0
2005,9,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,13,202,6,7,0,0,0,0,0
2015,5,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,1,5,1,0,1,0,0,0,0
2015,5,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,1484,2647,1365,52,314,1,64,0,2
2015,5,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3549,10296,3459,75,1524,8,0,1,6
2015,5,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,302,521,299,3,292,0,0,0,0
2015,5,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2313,4516,1871,300,105,17,4,119,2
2015,5,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",2,10,2,0,2,0,0,0,0
2015,5,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,1,1,1,0,0,0,0,0,0
2015,5,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",1,2,1,0,1,0,0,0,0
2015,5,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",3,307,3,0,1,0,0,0,0
2015,5,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,0,0,0,0,0,0,0,1
2015,5,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,16,108,10,6,0,0,0,0,0
2015,6,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,19770,61844,19240,276,18000,59,168,15,12
2015,6,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2323,5068,2254,49,1709,6,9,5,0
2015,6,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,48,115,46,2,2,0,0,0,0
2015,6,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,5185,8075,4892,163,2452,5,111,5,9
2015,6,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4902,10374,4722,142,3563,8,24,5,1
2015,6,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,1,0,0,0,0,0,0,1,0
2015,6,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,283,408,232,30,22,0,1,17,3
2015,6,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",1,2,1,0,0,0,0,0,0
2015,13,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1268,2958,1256,8,1020,1,0,3,0
2015,6,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",7,478,7,0,1,0,0,0,0
2015,6,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,190,1,0,0,0,0,0,0
2015,6,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,2,4,2,0,0,0,0,0,0
2015,7,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,17279,42901,16444,473,12702,103,186,25,48
2015,7,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",3404,8138,3138,129,1921,15,109,6,7
2015,7,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,327,460,304,12,31,2,9,0,0
2015,7,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,15721,19883,13038,755,3354,315,1518,11,84
2015,7,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2687,5613,2534,91,1221,8,49,1,4
2015,7,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,1,0,0,1,0,0,0,0,0
2015,7,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2659,3698,2182,319,103,21,2,129,6
2015,7,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",17,31,17,0,1,0,0,0,0
2015,7,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,99,93,55,9,25,0,31,1,3
2015,7,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",14,52,11,3,2,0,0,0,0
2015,7,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",8,1391,8,0,2,0,0,0,0
2015,7,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",4,93,3,1,1,0,0,0,0
2015,7,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,28,1722,15,13,0,0,0,0,0
2015,8,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,8832,20984,8284,303,6355,64,116,17,48
2015,8,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2544,5750,2290,115,1409,8,121,7,3
2015,8,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,261,387,223,11,58,8,18,0,1
2015,8,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,37800,51817,32499,1624,8844,180,3127,25,345
2015,8,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2454,4775,2255,80,1133,27,79,0,13
2015,8,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,1934,2516,1566,208,70,13,14,108,25
2015,8,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",11,72,9,1,2,1,0,0,0
2015,8,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,78,79,48,3,2,0,0,18,9
2015,8,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",12,36,9,2,3,0,0,0,1
2015,13,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,3,8,3,0,3,0,0,0,0
2015,8,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",9,649,6,2,0,0,0,0,1
2015,8,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",4,90,4,0,0,0,0,0,0
2015,8,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,24,703,22,2,0,0,0,0,0
2015,9,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,17652,42705,17007,353,13663,110,96,32,54
2015,9,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",3056,7561,2864,107,1634,14,67,2,2
2015,9,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,63,112,53,3,26,0,7,0,0
2015,9,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,10035,14539,8800,360,2429,27,754,47,47
2015,9,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3250,6899,3098,85,1944,11,10,32,14
2015,9,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,408,675,386,19,344,0,0,1,2
2015,9,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2447,3192,1998,259,105,19,6,146,19
2015,9,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",3,31,3,0,0,0,0,0,0
2015,9,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,67,77,50,3,13,0,0,0,14
2015,9,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",21,67,21,0,3,0,0,0,0
2015,9,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",9,1319,9,0,0,0,0,0,0
2015,9,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,1,1,0,0,0,0,0,0
2015,9,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,18,633,10,8,0,0,0,0,0
2015,10,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,15804,46851,15501,213,11985,50,15,11,14
2015,10,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2541,7395,2445,61,1155,22,5,3,5
2015,10,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,104,166,91,10,12,0,2,1,0
